protein	location	source(s)
SPRTN	Nucleoplasm	HPA;GO
FRMD7	Nucleoplasm	HPA
ZNF200	Mitochondria	HPA
TBK1	Cytosol	GO
HNRNPA1L2	Nucleoplasm	HPA
ZMYM1	Nucleoplasm	HPA
IGF2R	Plasma membrane	GO
FHL1	Actin filaments	GO
CLIC5	Golgi apparatus	GO
SPSB1	Cytosol	GO
PLEKHO2	Plasma membrane	HPA
SLAMF6	Cytosol	HPA
DPH5	Cytosol	GO
RAC2	Endoplasmic reticulum	GO
EHF	Nucleoplasm	HPA
CYTH2	Plasma membrane	HPA;GO
TUFM	Mitochondria	HPA;GO
MYBPC1	Cytosol	GO
DVL1	Actin filaments	HPA
PELO	Nucleoplasm	HPA
ANKRD50	Cytosol	HPA
QTRT2	Cytosol	HPA
OR51D1	Plasma membrane	GO
EPS8L2	Centrosome	HPA
TRIM51G	Nucleoli	HPA
GPATCH8	Mitochondria	HPA
PHLDB1	Plasma membrane	HPA
DUSP3	Plasma membrane	GO
PYCARD	Mitochondria	GO
ZNF112	Nucleoli	HPA
C6orf52	Nucleoplasm	HPA
PGBD5	Nucleoplasm	HPA
ZDHHC9	Cytosol	HPA
ZNF251	Nucleoplasm	HPA
IGHV4-59	Plasma membrane	GO
CEP97	Cytosol	GO
KDM5A	Nucleoplasm	HPA;GO
FAM90A23	Nucleoli	HPA
SYTL2	Golgi apparatus	HPA
UCHL1	Plasma membrane	GO
FBF1	Microtubules	GO
ZDHHC14	Endoplasmic reticulum	GO
OR51L1	Plasma membrane	GO
LBX2	Nucleoplasm	HPA
AP5B1	Nucleoplasm	HPA
GPC1	Plasma membrane	HPA;GO
TPBG	Nucleoplasm	HPA
NAB1	Golgi apparatus	HPA
COL19A1	Endoplasmic reticulum	GO
ZFPM1	Nucleoplasm	HPA;GO
SLC7A14	Cytosol	HPA
ZPLD1	Nucleoplasm	HPA
NCOR1	Nucleoplasm	HPA;GO
MYH14	Actin filaments	GO
CLK1	Nucleoplasm	HPA
EPPK1	Intermediate filaments	HPA;GO
NPHP1	Plasma membrane	GO
